,0,1,2,3,4,5,6,7,x,y,label
31,439.0,367.0,453.0,453.0,407.0,673.0,503.0,462.0,106.88509698487357,-6.338565165029242,water
32,361.0,425.0,452.0,455.0,382.0,630.0,471.0,408.0,106.88507125886487,-6.338546917282103,water
33,493.0,440.0,499.0,502.0,436.0,730.0,566.0,452.0,106.88572690802218,-6.337743587659421,water
34,472.0,393.0,470.0,436.0,373.0,610.0,467.0,386.0,106.88579911655548,-6.338407329003895,water
35,472.0,402.0,470.0,435.0,370.0,640.0,476.0,382.0,106.88607552578374,-6.338694986723539,water
36,468.0,405.0,430.0,473.0,367.0,654.0,461.0,453.0,106.8861198911356,-6.33858697562235,water
37,496.0,481.0,523.0,526.0,429.0,723.0,592.0,477.0,106.885681270293,-6.337508263100219,water
38,490.0,457.0,494.0,475.0,434.0,678.0,554.0,435.0,106.88530687374717,-6.33800769007923,water
39,445.0,541.0,583.0,461.0,532.0,693.0,669.0,444.0,106.88574844425469,-6.339940402591578,water
40,537.0,420.0,476.0,445.0,416.0,714.0,597.0,437.0,106.88494690493079,-6.338978386499249,water
41,522.0,346.0,439.0,455.0,376.0,631.0,452.0,347.0,106.88583006833865,-6.339016869786403,water
42,424.0,500.0,559.0,478.0,471.0,802.0,759.0,543.0,106.8848707109343,-6.339343325839257,water
43,523.0,385.0,449.0,453.0,375.0,625.0,454.0,393.0,106.88606599287122,-6.338593265236783,water
44,465.0,374.0,491.0,458.0,454.0,749.0,638.0,507.0,106.88484224619934,-6.33917000350026,water
45,359.0,378.0,455.0,423.0,381.0,653.0,474.0,321.0,106.88604453078142,-6.339260781105393,water
46,469.0,428.0,487.0,446.0,413.0,667.0,511.0,391.0,106.88541105822904,-6.338079566667676,water
47,436.0,451.0,482.0,465.0,416.0,699.0,585.0,421.0,106.885531246991,-6.339620164888314,water
48,470.0,386.0,415.0,449.0,415.0,694.0,536.0,429.0,106.88507177955509,-6.338655510911056,water
49,499.0,418.0,449.0,434.0,374.0,622.0,507.0,393.0,106.88549813250948,-6.3384313599060516,water
50,342.0,394.0,500.0,438.0,405.0,669.0,613.0,428.0,106.88511627466498,-6.339191759917742,water
51,408.0,386.0,447.0,405.0,412.0,579.0,546.0,359.0,106.88542549388033,-6.338689640112054,water
52,461.0,381.0,512.0,443.0,390.0,684.0,629.0,443.0,106.88500010050662,-6.3393100758803556,water
53,541.0,440.0,450.0,469.0,388.0,638.0,471.0,421.0,106.88555858821059,-6.338452207625892,water
54,406.0,389.0,458.0,414.0,387.0,618.0,454.0,322.0,106.88570755412329,-6.3388942440835905,water
55,510.0,440.0,473.0,449.0,436.0,646.0,556.0,412.0,106.88520053705147,-6.338430750814116,water
56,475.0,431.0,532.0,498.0,421.0,668.0,550.0,401.0,106.88530954787267,-6.338271308233479,water
57,499.0,445.0,480.0,483.0,441.0,700.0,639.0,473.0,106.88508226512486,-6.338905417054502,water
58,428.0,427.0,458.0,467.0,411.0,624.0,508.0,380.0,106.88550448524653,-6.3382357397607825,water
59,418.0,421.0,459.0,429.0,400.0,603.0,467.0,293.0,106.88592678625264,-6.338875906069583,water
60,557.0,456.0,491.0,478.0,411.0,655.0,511.0,417.0,106.8858706446067,-6.338283034400166,water
61,395.0,368.0,411.0,469.0,377.0,685.0,482.0,431.0,106.88518588009067,-6.338872179589587,water
62,432.0,341.0,434.0,406.0,383.0,639.0,472.0,346.0,106.88537220309892,-6.338922101896056,water
63,441.0,386.0,447.0,436.0,360.0,617.0,442.0,323.0,106.88616947071469,-6.338859127490273,water
64,468.0,361.0,431.0,434.0,388.0,616.0,460.0,349.0,106.88563775841578,-6.338874490459018,water
65,441.0,437.0,490.0,478.0,433.0,648.0,545.0,389.0,106.8853200423109,-6.338219901532668,water
66,478.0,410.0,474.0,402.0,364.0,654.0,595.0,389.0,106.8851391347901,-6.339259961185473,water
67,461.0,435.0,495.0,423.0,421.0,673.0,578.0,412.0,106.88522158441548,-6.3383997289791685,water
68,535.0,425.0,494.0,518.0,442.0,703.0,518.0,452.0,106.885592581378,-6.337810485052954,water
69,488.0,442.0,489.0,424.0,403.0,622.0,436.0,323.0,106.88584549001345,-6.338948821559686,water
70,405.0,391.0,461.0,458.0,385.0,670.0,512.0,371.0,106.8852638097484,-6.339014248013392,water
71,484.0,451.0,507.0,440.0,442.0,667.0,546.0,408.0,106.88528294322678,-6.338075982198723,water
72,529.0,494.0,489.0,429.0,528.0,717.0,506.0,622.0,106.88575139504977,-6.338235762289183,water
73,328.0,416.0,494.0,436.0,444.0,634.0,545.0,328.0,106.88568653183304,-6.339392725958289,water
74,471.0,392.0,431.0,433.0,369.0,631.0,465.0,361.0,106.88556829396022,-6.3386385665222935,water
